categories,endDate,location,startDate,title
"[{'name': 'Junior', 'ages': []}, {'name': 'Open', 'ages': ['13+']}, {'name': 'Junior', 'ages': []}]",12/01/2023,Alexander Park Tennis Club | Perth,9/01/2023,2023 O3K J125 APTC Bendigo Bank Open & Junior Event
"[{'name': 'Junior', 'ages': []}, {'name': 'Junior', 'ages': []}]",13/01/2023,Tennis Queensland | Caloundra,9/01/2023,2023 JT Premier 250 Mal Anderson Junior Championships
"[{'name': 'Junior', 'ages': []}, {'name': 'Junior', 'ages': []}]",13/01/2023,Domain Tennis Club | Queens Domain,10/01/2023,2023 JT Premier 250 Tasmanian Junior Championships
"[{'name': 'Junior', 'ages': []}, {'name': 'Junior', 'ages': ['-12', '-14']}]",14/01/2023,Royal Park TC | Parkville,10/01/2023,2022/3 Rafa Nadal Tour Australian Masters (Invitational)
"[{'name': 'Junior', 'ages': ['Open', '-10', '-14', '-18']}, {'name': 'Open', 'ages': ['13+']}, {'name': 'Junior', 'ages': []}]",14/01/2023,Wodonga Tennis Centre | Wodonga,10/01/2023,2023 O3K J125 Victorian Junior Grasscourt Championship
"[{'name': 'Junior', 'ages': []}]",13/01/2023,Eastern Districts Tennis Association | Kensington Gardens,11/01/2023,Eastern Districts Association Junior Tournament 2023
"[{'name': 'Junior', 'ages': []}, {'name': 'Junior', 'ages': []}]",14/01/2023,Pakenham Regional Tennis Centre | Pakenham,11/01/2023,2023 JT Junior 125 Pakenham Regional Tennis Centre - Summer Classic
"[{'name': 'Junior', 'ages': []}, {'name': 'Open', 'ages': ['13+']}, {'name': 'Junior', 'ages': []}]",14/01/2023,MCC Glen Iris Valley Tennis Club | Mt Waverley,11/01/2023,2023 OPEN 3K & J125 (16) Tennis Only MCC Glen Iris Open
"[{'name': 'Open', 'ages': []}, {'name': 'Open', 'ages': ['13+']}, {'name': 'Junior', 'ages': []}]",15/01/2023,Nepean District Tennis Association | Penrith,12/01/2023,2023 OC J125 Nepean Summer Open & Junior Event
"[{'name': 'Junior', 'ages': []}, {'name': 'Junior', 'ages': []}]",15/01/2023,Applecross Tennis Club | Perth,13/01/2023,2023 JT Junior 125 Applecross Tennis Event
"[{'name': 'Open', 'ages': []}, {'name': 'Open', 'ages': ['13+']}, {'name': 'Junior', 'ages': []}]",16/01/2023,NSW Country Tennis Association | Broadmeadow,13/01/2023,2023 O3K J125 Newcastle Open
"[{'name': 'Open', 'ages': ['Open']}, {'name': 'Open', 'ages': []}]",14/01/2023,Eynesbury Tennis Club | EYNESBURY,14/01/2023,2023 Community Eynesbury Doubles Event
"[{'name': 'Wheelchair', 'ages': []}]",14/01/2023,Hume Tennis and Community Centre | Craigieburn,14/01/2023,2023 Summer Wheelchair Tennis Classic
"[{'name': 'Junior', 'ages': []}, {'name': 'Junior', 'ages': []}]",16/01/2023,Tennis Gold Coast | Gold Coast,14/01/2023,2023 JT Junior 125 Volkl Gold Coast Junior Championships
"[{'name': 'Open', 'ages': []}, {'name': 'Open', 'ages': []}]",16/01/2023,Redlands Tennis Academy | Redland Bay,14/01/2023,2023 Open 2.1K Bayside Open (Singles Only)
"[{'name': 'Junior', 'ages': []}, {'name': 'Junior', 'ages': []}]",17/01/2023,Tennis Tasmania | Queens Domain,14/01/2023,2023 JT Signature 500 Tasmanian Junior Championships
"[{'name': 'Junior', 'ages': ['Open', '-10']}, {'name': 'Open', 'ages': ['13+']}, {'name': 'Junior', 'ages': []}]",18/01/2023,All Stars Tennis | Yarrawonga,15/01/2023,2023 O3K J125 All Stars Tennis Championship Yarrawonga
"[{'name': 'Junior', 'ages': ['5-7', '7-9', '8-9', '9-10', '10-11', '11-12', '12-13']}]",18/01/2023,Royal Pacific Tennis | Williamstown,16/01/2023,2023 Lil' Jo Nationals
"[{'name': 'Junior', 'ages': []}]",18/01/2023,Tennis Queensland | Gold Coast,17/01/2023,2023 JDS Gold Coast Region - Beenleigh Singles & Doubles
"[{'name': 'Junior', 'ages': []}, {'name': 'Junior', 'ages': []}]",20/01/2023,Tennis West | Perth,17/01/2023,2023 JP250 J125 Perth Junior Grasscourt & Spirit Junior #1
"[{'name': 'Junior', 'ages': []}, {'name': 'Junior', 'ages': []}]",20/01/2023,Rye TC | Rye,17/01/2023,2023 JT Junior 125 ALCTA Mornington Peninsula Junior Championships
"[{'name': 'Junior', 'ages': []}, {'name': 'Junior', 'ages': []}]",20/01/2023,Caroline Springs Tennis Club | Caroline Springs,17/01/2023,2023 JT Junior 125 Caroline Springs Event
"[{'name': 'Open', 'ages': []}, {'name': 'Open', 'ages': []}]",20/01/2023,Elite Tennis Academy | Mornington,17/01/2023,2023 Open 3K Mornington Open #2
"[{'name': 'Junior', 'ages': []}, {'name': 'Junior', 'ages': []}]",21/01/2023,Seaside Tennis Club | Henley Beach,18/01/2023,2023 JT Junior 125 Seaside January Junior Series
"[{'name': 'Open', 'ages': []}, {'name': 'Open', 'ages': ['15+']}, {'name': 'Junior', 'ages': []}]",22/01/2023,Gosford Tennis Centre Gosford | Gosford,18/01/2023,2023 O3K JP250 Northumberland Junior State Champs and Roche Series
"[{'ages': [], 'name': None}]",19/01/2023,UWA Tennis Club | Perth,19/01/2023,UWA Junior Challenge #4
"[{'name': 'Junior', 'ages': []}, {'name': 'Junior', 'ages': []}]",22/01/2023,Illawarra Tennis Association | Rockdale,19/01/2023,2023 JT Junior 125 Illawarra Junior
"[{'name': 'Junior', 'ages': ['-10']}, {'name': 'Junior', 'ages': []}]",22/01/2023,Pro One Tennis Academy | Tweed Heads,20/01/2023,2023 JT Junior 125 Tweed Heads Summer Junior Series
